column,count,mean,std,min,p25,p50,p75,max,iqr_outlier_pct
runtime_in_minutes,16482,102.392367431137,25.028519088880728,1.0,90.0,99.0,111.0,2000.0,4.03
tomatometer_rating,16637,60.46414618020076,28.586445948964286,0.0,38.0,66.0,86.0,100.0,0.0
tomatometer_count,16637,56.60996573901545,66.38476850182325,5.0,12.0,28.0,76.0,497.0,7.45
audience_rating,16385,60.471589868782424,20.46276007460491,0.0,45.0,62.0,77.0,100.0,0.0
audience_count,16385,152489.0031736344,1817791.250159759,5.0,865.0,4877.0,28765.0,35797635.0,14.32
