tconst,title_key,startYear,year_film,oscar_num_nominations,oscar_num_wins,oscar_was_nominated,oscar_was_winner,year_diff
tt8075192,shoplifters,2018,2018,1,0,1,0,0.0
tt6333060,icarus,2017,2017,1,1,1,1,0.0
tt0110322,legends of the fall,1994,1994,3,1,1,1,0.0
tt0027075,a tale of two cities,1935,1936,2,0,1,0,1.0
tt0032762,the mark of zorro,1940,1940,1,0,1,0,0.0
tt0031385,goodbye mr chips,1939,1939,7,1,1,1,0.0
tt0059229,juliet of the spirits,1965,1966,2,0,1,0,1.0
tt0056197,the longest day,1962,1962,5,2,1,1,0.0
tt0036377,the song of bernadette,1943,1943,12,4,1,1,0.0
tt0117477,ridicule,1996,1996,1,0,1,0,0.0
tt0044926,moulin rouge,1952,1952,7,2,1,1,0.0
tt2011971,monsieur lazhar,2011,2011,1,0,1,0,0.0
tt1235830,chico rita,2010,2011,1,0,1,0,1.0
tt3808342,son of saul,2015,2015,1,1,1,1,0.0
tt0069035,the new land,1972,1972,1,0,1,0,0.0
tt0061452,casino royale,1967,1967,1,0,1,0,0.0
tt0032943,pride and prejudice,1940,1940,1,1,1,1,0.0
tt0028333,swing time,1936,1936,2,1,1,1,0.0
tt1454029,the help,2011,2011,4,1,1,1,0.0
tt0926084,harry potter and the deathly hallows part 1,2010,2010,2,0,1,0,0.0
tt2582802,whiplash,2014,2014,5,3,1,1,0.0
tt0053003,libel,1959,1959,1,0,1,0,0.0
tt0088146,a soldier s story,1984,1984,3,0,1,0,0.0
tt1016268,enron the smartest guys in the room,2005,2005,1,0,1,0,0.0
tt0034891,in which we serve,1942,1942,1,1,1,1,0.0
tt0029442,the prisoner of zenda,1937,1937,2,0,1,0,0.0
tt0119116,the fifth element,1999,1997,1,0,1,0,2.0
tt0857191,the visitor,2007,2008,1,0,1,0,1.0
tt0150915,hilary and jackie,1998,1998,2,0,1,0,0.0
tt5363618,sound of metal,2019,2020,6,2,1,1,1.0
tt0047123,it should happen to you,1954,1954,1,0,1,0,0.0
tt0032138,the wizard of oz,1939,1939,6,2,1,1,0.0
tt0034162,the sea wolf,1941,1941,1,0,1,0,0.0
tt0035966,hangmen also die,1943,1943,2,0,1,0,0.0
tt0087921,places in the heart,1984,1984,7,2,1,1,0.0
tt0104756,lorenzo s oil,1992,1992,2,0,1,0,0.0
tt0120090,secrets of the heart,1997,1997,1,0,1,0,0.0
tt0090576,the assault,1986,1986,1,1,1,1,0.0
tt0039768,ride the pink horse,1947,1947,1,0,1,0,0.0
tt0040495,johnny belinda,1948,1948,12,1,1,1,0.0
tt1057500,invictus,2009,2009,2,0,1,0,0.0
tt0100470,journey of hope,1990,1990,1,1,1,1,0.0
tt0907657,once,2007,2007,1,1,1,1,0.0
tt0018578,wings,1927,1927,2,2,1,1,0.0
tt6654316,youth,2017,2015,1,0,1,0,2.0
tt2080374,steve jobs,2015,2015,2,0,1,0,0.0
tt0257360,about schmidt,2002,2002,2,0,1,0,0.0
tt0190590,o brother where art thou,2000,2000,2,0,1,0,0.0
tt0101507,boyz n the hood,1991,1991,2,0,1,0,0.0
tt0084370,my favorite year,1982,1982,1,0,1,0,0.0
tt0117318,the people vs larry flynt,1996,1996,2,0,1,0,0.0
tt0126886,election,1999,1999,1,0,1,0,0.0
tt0095497,the last temptation of christ,1988,1988,1,0,1,0,0.0
tt0045551,beneath the 12 mile reef,1953,1953,1,0,1,0,0.0
tt0093493,mannequin,1987,1987,1,0,1,0,0.0
tt1315981,a single man,2009,2009,1,0,1,0,0.0
tt0268978,a beautiful mind,2001,2001,8,4,1,1,0.0
tt0075648,airport 77,1977,1977,2,0,1,0,0.0
tt0090563,betty blue,1986,1986,1,0,1,0,0.0
tt0100405,pretty woman,1990,1990,1,0,1,0,0.0
tt0101526,children of nature,1991,1991,1,0,1,0,0.0
tt0055100,lover come back,1961,1961,1,0,1,0,0.0
tt0072890,dog day afternoon,1975,1975,6,1,1,1,0.0
tt0068732,images,1972,1972,1,0,1,0,0.0
tt0119448,character,1997,1997,1,1,1,1,0.0
tt0433383,good night and good luck,2005,2005,6,0,1,0,0.0
tt0253474,the pianist,2002,2002,7,3,1,1,0.0
tt0181865,traffic,2000,2000,5,4,1,1,0.0
tt0410097,hustle flow,2005,2005,2,1,1,1,0.0
tt0120338,titanic,1997,1997,14,11,1,1,0.0
tt3581652,west side story,2021,2021,7,1,1,1,0.0
tt0074860,marathon man,1976,1976,1,0,1,0,0.0
tt0056291,knife in the water,1962,1963,1,0,1,0,1.0
tt0049470,the man who knew too much,1956,1956,1,1,1,1,0.0
tt0028773,dead end,1937,1937,4,0,1,0,0.0
tt0039502,it happened on fifth avenue,1947,1947,1,0,1,0,0.0
tt0033373,ball of fire,1941,1941,4,0,1,0,0.0
tt0040308,easter parade,1948,1948,1,1,1,1,0.0
tt0329575,seabiscuit,2003,2003,7,0,1,0,0.0
tt0805564,lars and the real girl,2007,2007,1,0,1,0,0.0
tt0033677,the great lie,1941,1941,1,1,1,1,0.0
tt0078875,the tin drum,1979,1979,1,1,1,1,0.0
tt1204342,the muppets,2011,2011,1,1,1,1,0.0
tt0181530,east west,1999,1999,1,0,1,0,0.0
tt0047437,sabrina,1954,1954,6,1,1,1,0.0
tt0080610,the last metro,1980,1980,1,0,1,0,0.0
tt0079522,manhattan,1979,1979,2,0,1,0,0.0
tt0455590,the last king of scotland,2006,2006,1,1,1,1,0.0
tt0416320,match point,2005,2005,1,0,1,0,0.0
tt0032155,young mr lincoln,1939,1939,1,0,1,0,0.0
tt0108515,the war room,1993,1993,1,0,1,0,0.0
tt0118147,when we were kings,1996,1996,1,1,1,1,0.0
tt0174852,the last days,1998,1998,1,1,1,1,0.0
tt0066580,woodstock,1970,1970,3,1,1,1,0.0
tt0307197,murder on a sunday morning,2001,2001,1,1,1,1,0.0
tt0032080,union pacific,1939,1939,1,0,1,0,0.0
tt0112740,crimson tide,1995,1995,3,0,1,0,0.0
tt8579674,1917,2019,2019,10,3,1,1,0.0
tt0096321,twister,1997,1996,2,0,1,0,1.0
tt0048545,rebel without a cause,1955,1955,3,0,1,0,0.0
tt0095801,bagdad cafe,1987,1988,1,0,1,0,1.0
tt0405094,the lives of others,2006,2006,1,1,1,1,0.0
tt1068646,the class,2008,2008,1,0,1,0,0.0
tt0025464,manhattan melodrama,1934,1934,1,1,1,1,0.0
tt0034946,kings row,1942,1942,3,0,1,0,0.0
tt0028772,a day at the races,1937,1937,1,0,1,0,0.0
tt0054198,never on sunday,1960,1960,5,1,1,1,0.0
tt1800241,american hustle,2013,2013,10,0,1,0,0.0
tt0245429,spirited away,2001,2002,1,1,1,1,1.0
tt0120917,the emperor s new groove,2000,2000,1,0,1,0,0.0
tt0211181,102 dalmatians,1998,2000,1,0,1,0,2.0
tt0029146,the life of emile zola,1937,1937,10,3,1,1,0.0
tt0381681,before sunset,2004,2004,1,0,1,0,0.0
tt0113627,leaving las vegas,1995,1995,4,1,1,1,0.0
tt0065234,z,1969,1969,5,2,1,1,0.0
tt0023303,one hour with you,1932,1931,1,0,1,0,1.0
tt7286456,joker,2019,2019,11,2,1,1,0.0
tt0087892,a passage to india,1984,1984,11,2,1,1,0.0
tt0036922,hollywood canteen,1944,1944,3,0,1,0,0.0
tt10272386,the father,2020,2020,6,2,1,1,0.0
tt0086425,terms of endearment,1983,1983,11,5,1,1,0.0
tt0036422,thank your lucky stars,1943,1943,1,0,1,0,0.0
tt0988045,sherlock holmes,2009,2009,2,0,1,0,0.0
tt0037671,the enchanted cottage,1945,1945,1,0,1,0,0.0
