stage,column,missing_pct
clean,critics_consensus,50.05710164092084
clean,writers,8.108433010759152
clean,in_theaters_date,4.898719721103564
clean,rt_year,4.898719721103564
clean,studio_name,2.5365149966941156
clean,cast,1.7070385285808738
clean,audience_rating,1.5146961591633108
clean,audience_count,1.5146961591633108
clean,runtime_in_minutes,0.931658351866322
clean,runtime_rt,0.931658351866322
clean,directors,0.6852196910500691
clean,movie_info,0.15026747610747132
clean,genre,0.10218188375308047
clean,on_streaming_date,0.012021398088597705
clean,rt_id,0.0
clean,rt_high,0.0
clean,title_key,0.0
clean,movie_title,0.0
clean,tomatometer_count,0.0
clean,tomatometer_rating,0.0
clean,tomatometer_status,0.0
clean,rating,0.0
clean,rt_certified_fresh,0.0
