tconst,rt_id,rt_movie_title,rt_year,rt_tomatometer_rating,rt_tomatometer_count,rt_audience_rating,rt_audience_count,rt_runtime_minutes,rt_high,rt_certified_fresh,candidate_count,year_diff,runtime_diff
tt0031235,399,Dodge City,1939.0,100,13,74.0,2612.0,105.0,1.0,0,1,0.0,1.0
tt0031334,438,The Four Feathers,1939.0,100,9,86.0,2885.0,99.0,1.0,0,1,0.0,30.0
tt0031381,6772,Gone With the Wind,1939.0,90,93,93.0,293478.0,222.0,1.0,1,1,0.0,16.0
tt0031385,460,"Goodbye, Mr. Chips",1939.0,82,17,87.0,5649.0,114.0,1.0,0,1,0.0,0.0
tt0031398,6970,Gunga Din,1939.0,92,26,74.0,6066.0,117.0,1.0,0,1,0.0,0.0
tt0031580,553,The Little Princess,1939.0,88,8,81.0,15273.0,91.0,1.0,0,1,0.0,2.0
tt0031762,10752,Only Angels Have Wings,1939.0,100,27,82.0,5547.0,121.0,1.0,0,1,0.0,0.0
tt0031867,11891,The Roaring Twenties,1939.0,100,14,89.0,5076.0,104.0,1.0,0,1,0.0,2.0
tt0031951,12807,Son of Frankenstein,1939.0,91,23,71.0,3872.0,99.0,1.0,0,1,0.0,0.0
tt0031971,727,Stagecoach,1939.0,100,37,86.0,14555.0,100.0,1.0,0,1,0.0,4.0
tt0032138,15089,The Wizard of Oz,1939.0,98,116,89.0,875984.0,101.0,1.0,1,1,0.0,1.0
tt0032155,16570,Young Mr. Lincoln,1939.0,100,22,81.0,2298.0,100.0,1.0,0,1,0.0,0.0
tt0032181,2187,Abe Lincoln in Illinois,1940.0,83,6,71.0,438.0,110.0,1.0,0,1,0.0,0.0
tt0032390,13970,The Devil Bat,1940.0,58,12,31.0,2050.0,67.0,0.0,0,1,0.0,1.0
tt0032484,6270,Foreign Correspondent,1940.0,94,36,81.0,6882.0,120.0,1.0,0,1,0.0,0.0
tt0032617,7664,I Love You Again,1940.0,100,5,82.0,640.0,99.0,1.0,0,1,0.0,0.0
tt0032701,548,The Letter,1940.0,100,13,83.0,3708.0,95.0,1.0,0,1,0.0,0.0
tt0032762,1151,The Mark of Zorro,1940.0,91,11,79.0,8658.0,93.0,1.0,0,1,0.0,1.0
tt0032943,654,Pride and Prejudice,1940.0,100,10,77.0,9210.0,118.0,1.0,0,1,0.0,0.0
tt0033717,7326,High Sierra,1941.0,95,19,77.0,5724.0,96.0,1.0,0,1,0.0,4.0
tt0033870,575,The Maltese Falcon,1941.0,100,55,91.0,57767.0,101.0,1.0,1,1,0.0,1.0
tt0034398,16403,The Wolf Man,1941.0,94,35,80.0,10349.0,70.0,1.0,0,1,0.0,0.0
tt0034546,3728,Bowery at Midnight,1942.0,40,5,18.0,1842.0,60.0,0.0,0,1,0.0,1.0
tt0034587,353,Cat People,1942.0,93,46,73.0,7763.0,73.0,1.0,1,1,0.0,0.0
tt0034862,7377,Holiday Inn,1942.0,100,25,86.0,11839.0,100.0,1.0,0,1,0.0,0.0
tt0034891,7857,In Which We Serve,1942.0,89,18,76.0,854.0,114.0,1.0,0,1,0.0,1.0
tt0034946,8519,Kings Row,1942.0,100,15,77.0,1070.0,126.0,1.0,0,1,0.0,1.0
tt0035015,572,The Magnificent Ambersons,1942.0,90,40,85.0,6437.0,88.0,1.0,1,1,0.0,0.0
tt0035093,10102,Mrs. Miniver,1942.0,92,26,85.0,6041.0,134.0,1.0,0,1,0.0,0.0
tt0035140,10593,"Now, Voyager",1942.0,91,22,90.0,7437.0,117.0,1.0,0,1,0.0,0.0
tt0035417,13431,The Talk of the Town,1942.0,93,15,85.0,3066.0,117.0,1.0,0,1,0.0,1.0
tt0035432,764,This Gun for Hire,1942.0,93,14,81.0,2397.0,81.0,1.0,0,1,0.0,0.0
tt0035567,16416,Woman of the Year,1942.0,92,25,81.0,6631.0,114.0,1.0,0,1,0.0,0.0
tt0035966,7037,Hangmen Also Die,1943.0,85,13,67.0,399.0,131.0,1.0,0,1,0.0,3.0
tt0035979,7195,Heaven Can Wait,1943.0,85,13,76.0,4371.0,112.0,1.0,0,1,0.0,0.0
tt0036098,8709,Lassie Come Home,1943.0,94,16,75.0,6056.0,89.0,1.0,0,1,0.0,0.0
tt0036260,11126,Phantom Lady,1944.0,100,7,73.0,391.0,87.0,1.0,0,1,0.0,0.0
tt0036342,703,Shadow of a Doubt,1943.0,100,35,90.0,19417.0,108.0,1.0,0,1,0.0,0.0
tt0036377,12816,The Song of Bernadette,1943.0,86,14,80.0,3255.0,156.0,1.0,0,1,0.0,0.0
tt0036613,2793,Arsenic and Old Lace,1944.0,88,25,92.0,45508.0,118.0,1.0,0,1,1.0,0.0
tt0036653,322,Bluebeard,1944.0,100,12,38.0,798.0,73.0,1.0,0,1,0.0,1.0
tt0036775,5383,Double Indemnity,1944.0,97,60,95.0,35670.0,107.0,1.0,1,1,0.0,0.0
tt0036855,6514,Gaslight,1944.0,87,30,90.0,8493.0,114.0,1.0,0,1,0.0,0.0
tt0037008,545,Laura,1944.0,100,61,91.0,10739.0,90.0,1.0,1,1,0.0,2.0
tt0037017,8973,Lifeboat,1944.0,92,25,87.0,9395.0,100.0,1.0,0,1,0.0,3.0
tt0037059,9685,Meet Me In St. Louis,1944.0,100,32,87.0,36996.0,113.0,1.0,0,1,0.0,0.0
tt0037077,9850,The Miracle of Morgan's Creek,1944.0,88,26,83.0,3132.0,98.0,1.0,0,1,0.0,0.0
tt0037101,10146,"Murder, My Sweet",1944.0,94,16,87.0,3775.0,95.0,1.0,0,1,0.0,0.0
tt0037415,881,The Uninvited,1944.0,95,19,80.0,2687.0,99.0,1.0,0,1,0.0,0.0
tt0037913,9819,Mildred Pierce,1945.0,86,42,91.0,8209.0,113.0,1.0,1,1,0.0,2.0
tt0038057,12190,Scarlet Street,1945.0,100,14,88.0,3667.0,95.0,1.0,0,1,0.0,7.0
tt0038107,12865,The Southerner,1945.0,91,11,78.0,870.0,91.0,1.0,0,1,0.0,1.0
tt0038355,307,The Big Sleep,1946.0,97,64,91.0,33461.0,116.0,1.0,1,1,0.0,2.0
tt0038559,6624,Gilda,1946.0,97,32,88.0,9516.0,110.0,1.0,0,1,0.0,0.0
tt0038577,6899,Green for Danger,1947.0,73,15,84.0,1068.0,91.0,0.0,0,1,1.0,0.0
tt0038589,7125,The Harvey Girls,1946.0,100,10,82.0,5699.0,102.0,1.0,0,1,0.0,0.0
tt0038854,651,The Postman Always Rings Twice,1946.0,92,24,79.0,7638.0,113.0,1.0,0,1,0.0,0.0
tt0038965,12798,Somewhere in the Night,1946.0,89,9,62.0,553.0,108.0,1.0,0,1,0.0,2.0
