method,coverage,matched_movies,unique_ratio,avg_candidates,agreement_label_vs_rt_high,auc_label_vs_tomatometer,score
title_year_pm1_or_runtime8,0.2904887548687021,2312,0.9965397923875432,1.0034602076124568,0.8724048442906575,0.9534360351902471,0.6539898358846875
title_only,0.36675461741424803,2919,0.9133264816718054,1.0996916752312436,0.8321342925659473,0.9131658798938443,0.651130704934733
title_year_pm1,0.28131674833521797,2239,0.9991067440821796,1.0008932559178205,0.8740509155873157,0.9590099354840772,0.651090080297074
fuzzy_title90_year_pm1,0.2849604221635884,2268,0.9942680776014109,1.0061728395061729,0.873015873015873,0.9582491147314297,0.6508291917372833
title_year_pm2_runtime20,0.28244754366126396,2248,0.99644128113879,1.00355871886121,0.8745551601423488,0.9591193922121838,0.6507668750746151
title_year_pm1_runtime20,0.2757884156301043,2195,0.9990888382687927,1.0009111617312072,0.8765375854214122,0.9608544800436234,0.6490933975119069
fuzzy_title90_year_pm1_runtime20,0.279055157683126,2221,0.9941467807294012,1.0063034669067987,0.875281404772625,0.9601092803021078,0.6485824751672221
title_exact_year,0.2320643296896595,1847,1.0,1.0,0.8835950189496481,0.9677579376741233,0.6311479521502764
title_exact_year_runtime15,0.22553084558361602,1795,1.0,1.0,0.8857938718662952,0.9687802444686054,0.6286476548858863
