method,matched_movies,coverage,unique_ratio,score
oscar_title_year_pm2,716,0.08996105038321398,0.9930167597765364,0.5414889050798751
oscar_title_year_pm1,701,0.08807639150647066,0.9942938659058488,0.5411851287061598
oscar_title_exact_year,639,0.08028646814926499,1.0,0.5401432340746325
oscar_title_only,924,0.11609498680738786,0.9372294372294372,0.5266622120184126
