feature,missing_rate_train,missing_rate_val,std_train,univariate_auc_train,univariate_auc_val,mutual_info,spearman_train,spearman_val,abs_spearman_val,psi_train_vs_val,goodness_score,status
writer_hit_rate,0.0,0.0,0.026040246491856718,0.7372962425749413,0.7464962784795742,0.11969875512772754,0.43278193743875987,0.4487437363895544,0.4487437363895544,0.004303551184502159,0.9237704918032787,keep
director_hit_rate,0.0,0.0,0.03518526430329043,0.7313011860359561,0.7228698320107574,0.12240976797163317,0.4350314275636219,0.4182634935743056,0.4182634935743056,0.0021964297642191226,0.909016393442623,keep
title_sim_margin,0.0,0.0,0.012984059916319877,0.7331444753616323,0.7375128627614376,0.09202773404784481,0.4056081855057446,0.41314819458661395,0.41314819458661395,0.006139028329312722,0.8819672131147541,keep
genre_center_rating,0.2494110256007539,0.2594221105527638,0.2609392358035776,0.7186766127918222,0.7416147421450352,0.1193444428734074,0.3841821801020771,0.42476426964609204,0.42476426964609204,0.003015483286910914,0.8663934426229509,keep
rt_audience_rating,0.712423433328098,0.7035175879396985,13.639755606735575,0.7291970082687032,0.7258440496707764,0.16963948002619045,0.49815649990955985,0.4869815059798396,0.4869815059798396,0.027283101481018705,0.8524590163934426,keep
rt_tomatometer_rating,0.7113240144495052,0.7022613065326633,17.631359767680824,0.6945694452667102,0.7084264502566239,0.12177303153861652,0.4236185390613933,0.44812063385229217,0.44812063385229217,0.049661265830385826,0.7967213114754098,keep
is_horror,0.0,0.0,0.3693913207576102,0.6317382531130977,0.6266437504340195,0.06882444431014267,-0.35663475595901245,-0.35096080356999326,0.35096080356999326,,0.7950819672131147,keep
genre_center_runtime,0.2494110256007539,0.2594221105527638,1.7543967998056278,0.6566838849091232,0.6644058193342297,0.06298336402439997,0.27974761553808236,0.29321999754772315,0.29321999754772315,0.01075946735131174,0.7918032786885245,keep
genre_center_year,0.2494110256007539,0.2594221105527638,5.074481505407696,0.6664809168590768,0.6612161701482926,0.09843547696822808,-0.292718110333284,-0.2842511285764036,0.2842511285764036,0.014205203862432472,0.7868852459016393,keep
numVotes_log1p,0.0,0.0,1.4114358974285248,0.6313439109584986,0.6081813475754878,0.04053622960026382,0.22749376459109283,0.18737524798884322,0.18737524798884322,0.004742968280685966,0.7540983606557378,keep
startYear,0.0,0.0,20.790618956499838,0.6194531111242674,0.6074798141449341,0.04084454457789377,-0.20697292405593645,-0.1862275868337854,0.1862275868337854,0.0049523374208351855,0.7475409836065574,keep
rt_high,0.7113240144495052,0.7022613065326633,0.3340940054031063,0.6094438359678724,0.6171079461878879,0.056269329934827805,0.32758278833227455,0.3361650356426925,0.3361650356426925,,0.7286885245901639,keep
oscar_num_nominations,0.0,0.0,1.2003530042251076,0.5802661673869713,0.5835108867887604,0.044569670801137384,0.2834996046032746,0.29168525564072173,0.29168525564072173,,0.7204918032786884,keep
oscar_was_nominated,0.0,0.0,0.282769743469331,0.5801812109012688,0.5833175508039621,0.04544666426354871,0.2835555321845813,0.29139089411434743,0.29139089411434743,,0.719672131147541,keep
genre_token_count,0.0,0.0,1.573198429024032,0.5694541965149094,0.5822885298889541,0.036554400025298195,-0.12358192758406798,-0.1466853471054124,0.1466853471054124,0.0014955823379675008,0.7139344262295083,keep
is_thriller,0.0,0.0,0.4366891175697588,0.5894242496003789,0.610561353004678,0.01611726198206398,-0.2047770994273387,-0.2542737845083461,0.2542737845083461,,0.7024590163934425,keep
