tconst,averageRating,numVotes
tt0031867,7.9,17262
tt0031951,7.1,13292
tt0031971,7.8,58482
tt0032080,7.0,3830
tt0032138,8.1,465350
tt0032143,7.7,16024
tt0032152,6.9,2006
tt0032155,7.5,9878
tt0032156,7.8,4838
tt0032181,7.3,2266
tt0032215,4.7,2266
tt0032234,7.1,8183
tt0032284,7.3,3040
tt0032325,7.1,1646
tt0032338,7.3,4733
tt0032339,7.2,4695
tt0032390,5.4,3807
tt0032432,7.0,1962
tt0032457,5.4,1460
tt0032484,7.4,25870
tt0032520,7.0,4538
tt0032551,8.1,107986
tt0032617,7.4,4145
tt0032653,5.0,3655
tt0032701,7.5,15824
tt0032762,7.5,11875
tt0032819,6.9,1489
tt0032904,7.8,78205
tt0032910,7.5,171659
tt0032943,7.3,10015
tt0032981,7.5,8285
tt0033022,7.1,3375
tt0033028,7.6,11516
tt0033045,8.0,43954
tt0033152,7.4,15749
tt0033238,7.7,11790
tt0033253,7.2,7474
tt0033317,7.1,1681
tt0033373,7.7,15768
tt0033477,7.0,2810
tt0033532,7.5,6470
tt0033533,7.6,5278
tt0033563,7.2,150841
tt0033677,7.1,4666
tt0033717,7.5,20894
tt0033722,7.3,3066
tt0033723,7.2,4603
tt0033766,7.6,2173
tt0033774,7.1,3851
tt0033787,5.2,2776
tt0033802,7.1,2178
tt0033836,7.9,14073
tt0033870,7.9,173735
tt0033873,7.2,7025
tt0033874,7.5,9793
tt0033945,7.0,2784
tt0034012,7.1,8828
tt0034027,7.2,2013
tt0034162,7.5,5011
tt0034224,5.3,2014
tt0034241,7.1,2177
tt0034398,7.2,34262
tt0034461,7.6,2065
tt0034478,7.3,3930
tt0034493,7.7,3338
tt0034521,4.3,1402
tt0034546,5.3,1436
tt0034586,7.0,1574
tt0034587,7.2,28445
tt0034591,7.5,3469
tt0034694,7.2,3386
tt0034798,7.0,7876
tt0034862,7.3,19475
tt0034890,7.3,5641
tt0034891,7.2,7009
tt0034946,7.5,5428
tt0035009,3.6,2079
tt0035015,7.6,28605
tt0035017,7.3,1994
tt0035019,7.3,8403
tt0035093,7.6,21086
tt0035100,7.0,1745
tt0035140,7.8,20626
tt0035169,7.4,13765
tt0035211,7.6,12843
tt0035228,7.8,1356
tt0035279,7.1,29562
tt0035417,7.5,9929
tt0035429,7.5,4786
tt0035432,7.3,11557
tt0035446,8.1,49538
tt0035521,7.2,2633
tt0035567,7.1,11734
tt0035575,7.6,17964
tt0035640,4.4,1630
tt0035753,7.8,11832
tt0035939,5.0,1723
tt0035966,7.4,7315
tt0035979,7.3,13334
tt0036098,7.1,6399
tt0036152,7.4,2093
tt0036191,7.0,2360
tt0036230,7.4,4205
tt0036260,7.2,6454
tt0036342,7.8,75055
tt0036367,7.4,2266
tt0036377,7.6,8358
tt0036422,6.7,2304
tt0036430,5.8,1468
tt0036613,7.9,78531
tt0036641,7.1,2596
tt0036653,5.9,2328
tt0036716,5.7,1401
tt0036775,8.3,180408
tt0036818,7.7,7040
tt0036855,7.8,37492
tt0036891,7.6,5514
tt0036922,7.0,2655
tt0036962,7.0,3346
tt0037008,7.9,55605
tt0037017,7.6,33454
tt0037024,7.0,4397
tt0037055,7.2,4457
tt0037059,7.5,30957
tt0037075,7.1,9643
tt0037077,7.5,8395
tt0037084,4.8,1370
tt0037094,7.5,7242
tt0037096,7.0,2094
tt0037101,7.5,16247
tt0037151,5.4,1739
tt0037323,7.4,2540
tt0037367,7.3,4529
tt0037415,7.2,13477
tt0037462,7.0,2005
tt0037469,7.6,19348
tt0037558,8.0,48319
tt0037595,7.3,13725
tt0037614,7.3,3476
tt0037630,7.1,5155
tt0037635,7.5,15756
tt0037638,7.3,21843
tt0037671,7.5,3894
tt0037865,7.6,16565
tt0037885,7.0,2017
tt0037913,7.9,31151
tt0037939,7.0,2308
tt0037988,7.5,15960
tt0038000,7.3,1792
tt0038057,7.7,21054
tt0038107,7.1,4260
tt0038120,7.2,4286
tt0038213,7.3,2701
tt0038238,7.3,1799
tt0038348,7.9,29802
tt0038355,7.9,95156
tt0038387,4.4,1694
tt0038559,7.6,38394
tt0038577,7.4,6209
tt0038589,7.0,5338
tt0038650,8.6,552379
tt0038700,7.1,3666
tt0038733,8.0,27719
tt0038762,7.7,28261
tt0038787,7.9,113425
tt0038823,7.6,10590
tt0038824,7.9,2894
tt0038854,7.4,24659
tt0038890,8.0,33800
tt0038913,8.0,8914
tt0038934,5.2,3458
tt0038948,7.2,1371
tt0038965,7.0,3899
tt0038969,6.9,16377
tt0038975,7.3,12399
tt0038991,7.3,30669
tt0039074,7.0,1541
tt0039090,7.1,4418
tt0039101,5.5,1457
tt0039208,7.2,5427
tt0039224,7.5,12667
tt0039286,7.2,10818
tt0039302,7.5,23813
tt0039305,7.0,9859
tt0039370,7.2,3201
tt0039416,7.2,19040
tt0039420,7.8,22412
tt0039502,7.6,7577
tt0039536,7.4,10475
tt0039563,7.7,1303
tt0039566,7.1,6986
tt0039628,7.9,60904
tt0039631,7.8,20505
tt0039651,7.7,2534
tt0039661,7.7,14452
tt0039666,7.1,2490
tt0039668,7.8,1275
tt0039676,7.0,1698
tt0039677,7.6,12965
tt0039689,7.9,44110
tt0039725,7.1,6357
tt0039737,7.2,4280
tt0039768,7.2,3788
tt0039822,7.6,6156
tt0039895,7.2,2215
tt0039941,7.2,4084
tt0039973,7.1,1727
tt0040064,7.0,11549
tt0040068,7.3,21522
tt0040308,7.3,11908
tt0040321,7.2,1546
tt0040338,7.6,10679
tt0040369,7.4,21248
tt0040427,7.0,7437
tt0040495,7.7,5771
tt0040506,7.7,46922
tt0040522,8.2,191809
tt0040525,7.5,36388
tt0040536,7.8,14813
tt0040558,7.4,8420
tt0040613,7.2,13640
tt0040626,5.6,1305
tt0040643,7.0,2240
tt0040662,7.8,14837
tt0040705,7.6,8400
tt0040723,7.2,6156
tt0040724,7.7,37631
tt0040725,8.1,43229
tt0040737,7.6,5499
tt0040795,7.4,3013
tt0040843,7.0,3602
tt0040866,7.8,6151
tt0040872,7.4,10287
tt0040876,7.1,7614
tt0040897,8.2,140864
tt0040970,7.6,2070
tt0041088,7.5,6624
tt0041113,7.4,18039
tt0041268,7.4,10601
tt0041386,7.0,11764
tt0041445,7.3,1706
tt0041460,7.3,3390
tt0041473,7.2,8014
tt0041487,7.3,4592
tt0041507,7.1,4763
tt0041513,7.6,3366
tt0041546,8.0,41791
tt0041694,7.4,3247
tt0041699,7.8,20686
tt0041716,7.3,19827
tt0041746,7.2,3718
tt0041786,7.1,6345
tt0041841,7.0,12312
tt0041859,7.8,11145
tt0041928,7.1,3586
tt0041954,7.3,4014
tt0041996,7.7,16743
tt0042041,8.1,38227
tt0042046,7.4,5394
tt0042192,8.2,148549
tt0042209,5.5,2866
tt0042210,5.5,2402
tt0042235,7.3,2021
tt0042286,7.1,10714
tt0042296,7.6,5469
tt0042369,7.2,14085
tt0042395,7.2,2254
tt0042436,6.9,4565
tt0042451,7.1,13455
tt0042490,7.2,4297
tt0042546,7.9,60812
tt0042648,7.1,2829
tt0042742,7.0,2258
tt0042788,7.8,16449
tt0042792,7.4,6928
tt0042876,8.1,195524
tt0042898,7.2,1535
tt0042906,7.4,6455
tt0042958,7.2,5193
tt0042994,7.0,17684
tt0043014,8.4,259849
tt0043041,7.3,2378
tt0043137,7.6,24160
tt0043278,7.1,39160
tt0043286,7.2,3279
tt0043332,7.7,6015
tt0043338,8.1,42142
tt0043379,7.3,8287
tt0043435,7.3,3052
tt0043456,7.7,89618
tt0043459,7.2,3276
tt0043476,5.9,1456
tt0043545,5.1,1597
tt0043614,7.1,6189
tt0043757,3.4,1956
tt0043769,7.0,1556
tt0043873,7.1,2007
tt0043879,7.2,9123
tt0043895,4.3,1350
tt0043910,6.9,2058
tt0043918,7.6,5205
tt0043927,7.4,1885
tt0043938,7.1,5230
tt0043959,7.1,3547
tt0044000,7.2,7475
tt0044008,8.1,29078
tt0044091,5.5,2728
tt0044314,7.6,6052
tt0044320,5.7,2447
tt0044357,7.2,10006
tt0044406,3.6,2784
tt0044418,5.2,2502
tt0044420,5.7,2025
tt0044533,7.2,4786
tt0044602,7.1,3766
tt0044716,7.3,2321
tt0044741,8.3,101527
tt0044750,3.6,1926
tt0044762,5.8,3799
tt0044860,7.3,4057
tt0044926,7.0,7240
tt0044937,7.1,3742
tt0044982,7.6,4284
tt0045009,7.2,2164
tt0045073,4.9,1630
tt0045102,7.2,3409
tt0045112,8.0,8361
tt0045125,7.5,6807
tt0045161,7.1,4393
tt0045201,7.3,1561
tt0045205,7.5,8744
tt0045251,7.5,10164
tt0045274,8.1,30514
tt0045465,7.4,3939
tt0045492,7.0,2735
tt0045518,5.9,1736
tt0045537,7.4,13556
tt0045551,5.7,1749
tt0045554,7.9,5185
tt0045555,7.9,32296
tt0045693,8.3,2490
tt0045793,7.6,53992
tt0045810,7.1,46935
tt0045814,7.6,2632
tt0045826,4.3,9664
tt0045848,7.4,7998
tt0045883,7.0,13774
tt0045897,7.2,25156
tt0045911,7.0,2046
tt0045943,7.2,14052
tt0046004,7.5,3240
tt0046008,7.3,1930
tt0046031,7.0,2882
tt0046040,7.2,2030
tt0046183,7.3,164585
tt0046248,3.0,5795
tt0046264,5.3,1363
tt0046303,7.6,47496
tt0046375,5.9,1678
tt0046446,5.6,1682
tt0046451,7.7,9608
tt0046511,7.3,13728
tt0046672,7.2,40230
tt0046750,7.4,1317
tt0046757,5.6,1308
tt0046816,7.7,32045
tt0046874,7.2,7344
tt0046878,7.3,5294
tt0046912,8.1,203798
tt0046998,7.3,4803
tt0047094,7.7,9907
tt0047123,7.2,5114
tt0047203,7.0,8444
tt0047278,7.0,1793
tt0047296,8.1,177046
tt0047437,7.6,75462
tt0047444,7.4,10253
tt0047478,8.6,399990
tt0047494,4.6,1947
tt0047507,3.3,1348
tt0047522,7.5,20917
tt0047528,8.0,69722
tt0047573,7.2,26514
tt0047638,7.4,1552
tt0047647,7.0,12836
tt0047682,7.7,2350
tt0047834,7.2,21209
tt0047849,7.6,26397
tt0047878,7.3,9854
tt0047892,7.5,14235
tt0047898,4.2,8141
tt0047990,7.7,2135
tt0048002,7.1,2408
tt0048021,8.1,39243
tt0048028,7.8,51584
tt0048055,7.1,9470
tt0048140,7.1,20794
tt0048275,7.7,1921
tt0048308,7.2,6594
tt0048317,7.1,5165
tt0048337,7.2,1217
tt0048342,7.3,13091
tt0048347,7.3,13332
tt0048380,7.6,19558
tt0048424,8.0,106978
tt0048445,7.0,15630
tt0048473,8.2,41390
tt0048488,7.2,3592
tt0048491,7.0,10643
tt0048499,7.0,4817
tt0048545,7.6,102885
tt0048579,7.3,7492
tt0048605,7.0,46105
tt0048613,7.9,3299
tt0048641,7.7,15670
tt0048673,7.1,11240
tt0048682,3.4,2156
tt0048729,7.1,6460
tt0048752,8.0,8154
tt0048801,7.4,12014
tt0048820,7.1,2217
tt0048933,7.8,5360
tt0048947,7.0,10193
tt0048956,8.2,19297
tt0048981,7.5,1754
tt0049010,7.4,8783
tt0049012,8.0,7201
tt0049042,7.3,1431
tt0049103,5.6,4702
tt0049147,7.4,1610
tt0049201,7.1,4066
tt0049207,7.6,1634
tt0049223,7.5,56883
tt0049259,7.4,1804
tt0049261,7.6,44963
tt0049287,3.8,1940
tt0049291,7.5,10274
tt0049293,7.1,2182
tt0049397,7.4,3509
tt0049408,7.4,29408
tt0049470,7.4,75755
tt0049474,7.1,4421
tt0049509,7.1,1519
tt0049516,5.1,4263
tt0049531,7.5,2908
tt0049552,7.1,5525
tt0049601,7.7,4162
tt0049615,3.7,2276
tt0049665,7.2,3231
tt0049674,7.3,5830
tt0049710,7.5,7207
tt0049777,7.5,2661
tt0049783,7.5,1861
tt0049794,7.1,1636
tt0049829,7.3,3670
tt0049833,7.9,83538
tt0049843,7.4,4106
tt0049866,7.7,2278
tt0049871,7.2,2126
tt0049902,8.1,30484
tt0050091,7.5,2159
tt0050105,7.4,35600
tt0050147,4.9,4393
tt0050201,4.6,1728
tt0050210,5.2,2116
tt0050281,4.5,1497
tt0050322,8.4,1983
tt0050347,7.2,3885
tt0050356,7.4,13264
tt0050371,8.1,19064
tt0050381,5.4,2652
tt0050414,3.8,2200
tt0050458,7.6,5916
tt0050490,7.3,10291
tt0050539,7.6,21821
tt0050545,5.3,2381
tt0050546,5.3,1795
tt0050599,5.6,2306
tt0050610,5.7,2356
tt0050622,5.7,2217
tt0050665,7.7,1723
tt0050681,7.1,3119
tt0050706,7.6,25956
tt0050783,8.1,56873
tt0050803,7.1,2717
tt0050858,5.7,3540
tt0050976,8.1,215051
tt0050986,8.1,123985
tt0051003,7.1,9281
tt0051020,4.8,1500
tt0051036,8.0,39584
tt0051047,7.3,6932
tt0051077,7.2,9575
tt0051082,7.7,1453
tt0051087,7.3,7489
tt0051337,7.0,16144
tt0051383,7.9,13783
tt0051398,5.8,2383
tt0051404,7.1,4101
tt0051411,7.9,23951
tt0051484,5.9,1417
tt0051507,4.9,1364
tt0051525,7.5,19868
tt0051720,7.8,5355
tt0051739,6.9,4136
tt0051776,7.2,5796
tt0051790,7.7,8702
tt0051792,7.8,7308
tt0051845,7.3,4525
tt0051866,7.3,5209
tt0051899,7.0,10667
tt0051927,8.3,1917
tt0051959,7.2,5195
tt0051980,7.8,4117
tt0051993,3.6,2625
tt0052005,7.5,4833
tt0052017,7.3,3728
tt0052046,7.6,1400
tt0052077,3.9,42350
tt0052104,4.7,2889
tt0052131,5.7,1736
tt0052151,7.3,14551
tt0052156,3.4,1781
tt0052188,2.9,1210
tt0052216,7.9,12719
tt0052218,7.2,8149
tt0052279,3.6,1878
tt0052286,3.0,1614
tt0052289,4.3,2172
tt0052311,7.9,114526
tt0052357,8.2,457466
tt0052378,4.0,2905
tt0052394,2.3,1483
tt0052561,8.0,77383
tt0052572,8.4,19685
tt0052600,8.2,12194
tt0052609,4.4,2507
tt0052611,5.7,3312
tt0052646,4.6,8098
tt0052654,7.9,9263
tt0052698,7.5,4999
tt0052700,7.4,8474
tt0052708,7.2,3553
tt0052724,7.3,4907
tt0052735,6.9,3238
tt0052782,4.6,2518
tt0052805,5.4,1992
tt0052809,7.1,2331
tt0052832,7.0,8074
tt0052846,3.7,4706
tt0052876,7.1,5457
tt0052888,4.3,1739
tt0052918,7.8,19766
tt0052954,7.8,3101
tt0052961,7.6,2921
tt0052969,4.2,6061
tt0052993,7.3,9725
tt0052997,7.2,5889
tt0053003,7.1,1785
tt0053039,7.4,1821
tt0053050,7.5,1591
tt0053065,7.2,1917
tt0053121,7.9,5800
tt0053133,7.4,6258
tt0053134,7.8,12290
tt0053137,7.1,15864
tt0053183,7.0,5728
tt0053198,8.0,134003
tt0053226,7.5,8165
tt0053241,2.8,5389
tt0053242,7.2,2908
tt0053250,4.7,3591
tt0053285,7.2,171401
tt0053317,7.9,4159
tt0053337,3.9,4177
tt0053361,7.5,3624
tt0053388,5.6,1814
tt0053390,7.9,9709
tt0053403,7.1,1870
tt0053434,7.1,7648
tt0053459,7.6,38816
tt0053472,7.6,94701
tt0053579,7.9,6684
tt0053598,3.3,1359
tt0053602,7.2,1838
tt0053604,8.3,217963
tt0053611,3.8,5264
tt0053636,7.0,1349
tt0053643,7.3,2158
tt0053651,5.3,2455
tt0053666,7.2,3432
tt0053724,7.3,1818
tt0053746,7.3,1205
tt0053765,7.8,3320
tt0053779,8.0,85477
tt0053796,7.1,4108
tt0053849,7.1,2195
tt0053856,7.7,4081
tt0053917,7.4,4221
tt0053935,7.7,7432
tt0053944,3.1,1462
tt0053967,7.4,3286
tt0053976,8.0,33634
tt0053987,7.4,7801
tt0054020,4.8,2468
tt0054042,8.3,5139
tt0054047,7.7,110122
tt0054067,7.1,19929
tt0054086,5.4,2195
tt0054115,7.1,1827
tt0054119,7.3,1757
tt0054130,7.9,26317
tt0054152,7.2,6747
tt0054189,7.7,23721
tt0054195,7.4,12447
tt0054198,7.3,6577
tt0054205,7.1,1651
tt0054215,8.5,781396
tt0054240,3.0,3626
tt0054248,8.2,25581
tt0054279,7.3,4281
tt0054292,7.4,6110
tt0054331,7.9,151406
tt0054333,2.7,4405
tt0054353,7.1,5261
tt0054357,7.1,19767
tt0054358,5.8,1665
tt0054387,7.5,48181
tt0054389,7.4,21826
tt0054393,4.9,3250
tt0054407,8.5,23272
tt0054412,7.5,5095
tt0054413,7.7,1655
tt0054425,7.2,2291
tt0054476,7.5,6621
tt0054599,7.6,11123
tt0054614,7.1,1858
tt0054665,7.7,3535
tt0054687,7.4,6383
tt0054691,3.7,2706
tt0054731,7.5,3793
tt0054734,7.0,1564
tt0054743,7.8,20439
tt0054745,7.4,3987
tt0054749,7.7,13637
tt0054790,7.2,6889
tt0054847,7.2,17107
tt0054923,5.7,1357
tt0054949,7.4,3047
tt0054997,7.9,90827
tt0055018,7.7,35934
tt0055031,8.3,96370
tt0055032,7.6,46784
tt0055093,7.4,8426
tt0055100,7.1,9598
tt0055153,7.5,4783
tt0055184,7.2,25383
tt0055233,8.8,8622
tt0055254,7.3,195504
tt0055256,7.8,24613
tt0055257,7.1,14978
tt0055277,7.2,26175
tt0055294,3.9,3621
tt0055304,7.0,18446
tt0055408,3.9,1623
tt0055458,5.3,1291
tt0055499,7.9,29233
tt0055539,7.2,2107
tt0055562,2.3,2945
tt0055597,7.7,8025
tt0055599,5.6,1414
tt0055602,8.0,2507
tt0055614,7.6,127236
tt0055618,7.6,4077
tt0055630,8.2,142350
tt0055724,7.9,1434
tt0055747,7.1,2564
tt0055796,7.8,5420
tt0055805,7.0,5572
tt0055824,7.7,34526
tt0055830,7.0,30967
tt0055850,7.5,2369
tt0055872,5.7,1871
tt0055884,7.1,3371
tt0055913,7.9,15597
tt0055946,2.3,6340
tt0055972,7.3,7503
tt0055981,7.5,2576
tt0055998,7.2,3711
tt0056045,7.4,1894
tt0056048,7.1,7492
tt0056049,8.0,6752
tt0056058,8.6,89854
tt0056059,7.1,15612
tt0056085,7.1,25305
tt0056127,4.7,2122
tt0056134,7.9,1275
tt0056141,7.3,2925
tt0056142,5.7,12014
tt0056160,7.9,1590
tt0056196,7.5,6418
tt0056197,7.7,62523
tt0056215,7.7,11333
tt0056217,8.1,88203
tt0056262,7.7,20637
tt0056264,7.2,19337
tt0056291,7.4,24961
tt0056327,7.7,5187
tt0056405,3.7,4793
tt0056412,7.4,16110
tt0056415,1.9,1505
tt0056444,8.0,11872
tt0056537,7.3,1454
tt0056592,8.2,350485
tt0056628,7.2,1404
tt0056636,7.4,3729
tt0056663,7.8,37515
tt0056732,8.0,37984
tt0056825,7.7,6427
tt0056860,5.7,2545
tt0056868,7.2,7657
tt0056923,7.8,92860
tt0056930,7.2,3870
tt0056945,8.0,3744
tt0056966,7.2,1311
tt0056982,7.5,1436
tt0056983,5.7,10071
tt0057012,8.3,549465
tt0057058,7.8,11472
tt0057083,5.9,4122
tt0057163,7.8,25754
tt0057171,7.2,11306
tt0057180,7.0,5679
tt0057227,5.3,2692
tt0057229,8.1,2205
tt0057232,7.2,1960
tt0057239,7.3,2459
tt0057336,7.0,4130
tt0057344,7.3,5159
tt0057360,5.7,1859
tt0057427,7.6,26668
tt0057490,7.7,15652
tt0057503,7.3,2608
tt0057507,1.9,5070
tt0057530,6.9,1398
tt0057542,6.9,2954
tt0057546,7.1,113760
tt0057569,5.1,9295
tt0057578,7.5,7611
tt0057579,7.2,2843
tt0057591,7.7,7123
tt0057611,7.7,22561
tt0057654,7.5,3357
tt0057714,7.1,2152
tt0057715,7.2,2212
tt0057809,7.4,5349
tt0057812,7.1,5865
tt0057859,3.1,3129
tt0057869,7.6,28778
tt0057919,5.9,2820
tt0057933,7.2,2874
tt0057935,8.1,7904
tt0057967,7.3,8904
tt0057997,7.3,7290
tt0058006,7.1,6230
tt0058050,5.8,2778
tt0058092,7.3,13511
tt0058101,5.8,1584
tt0058126,8.2,3193
tt0058138,7.3,7316
tt0058208,3.4,3442
tt0058213,7.5,17388
tt0058263,7.5,2936
tt0058275,7.4,3306
tt0058279,7.9,22646
tt0058301,5.7,1321
tt0058311,3.0,2079
tt0058331,7.8,197849
tt0058382,7.0,6424
tt0058384,5.2,1917
tt0058390,7.2,9592
tt0058404,7.5,14005
tt0058439,8.0,1387
tt0058440,5.0,1435
tt0058458,7.5,9059
tt0058461,7.9,252261
tt0058500,7.1,3243
tt0058557,7.5,8149
tt0058561,5.9,1450
tt0058564,7.9,4295
tt0058576,7.8,18821
tt0058586,7.3,33772
tt0058604,8.2,12106
tt0058625,8.4,25266
tt0058642,7.8,9535
tt0058777,7.7,45940
tt0058863,7.3,1844
tt0058886,7.2,8764
tt0058888,8.3,23230
tt0058898,7.0,29959
tt0058962,7.3,6649
tt0058985,7.6,11500
tt0058997,7.3,11212
tt0059012,7.6,11080
tt0059037,7.2,19495
tt0059044,5.1,2168
tt0059124,5.1,2841
tt0059126,5.6,5810
tt0059199,3.8,2238
tt0059205,5.5,2671
tt0059219,5.8,2745
tt0059221,7.2,8356
tt0059229,7.4,15676
tt0059260,7.1,22367
tt0059287,4.8,1775
tt0059309,7.3,11329
tt0059377,5.5,1443
tt0059415,7.4,10204
tt0059417,7.0,1885
tt0059464,1.8,10225
tt0059496,7.1,7352
tt0059529,8.1,2308
tt0059538,5.8,1887
tt0059563,5.5,2667
tt0059573,8.0,10217
tt0059578,8.2,298688
tt0059616,7.4,6499
tt0059646,7.5,61087
