tconst,directors,writers
tt0112864,nm0001532,"nm0378144,nm0861636"
tt0112873,nm0761159,nm0761159
tt0112895,nm0002606,"nm0002606,nm0424243,nm0124700,nm0204030,nm0651758,nm0829044"
tt0113014,nm0912557,"nm0017500,nm0804043"
tt0113049,nm0000972,"nm0000972,nm0342099,nm0515490"
tt0113063,nm0002337,"nm0508052,nm0408885"
tt0113074,nm0709752,"nm0122967,nm0361700,nm0040643,nm0709752"
tt0113114,nm0514546,"nm0418321,nm0088097,nm0560469,nm0907929"
tt0113189,nm0132709,"nm0001220,nm0289833,nm0128997,nm0270761"
tt0113247,nm0440913,nm0440913
tt0113253,nm0152640,"nm0384185,nm0000118,nm0268107"
tt0113277,nm0000520,nm0000520
tt0113403,nm0000110,nm0000110
tt0113429,"nm0703028,nm0703029,nm11739451","nm0664877,nm0703028,nm0703029,nm0909523"
tt0113442,nm0855035,nm0204456
tt0113443,nm0459170,nm0459170
tt0113463,nm0412465,nm0695609
tt0113492,nm0134176,"nm0006894,nm0936537,nm0211823,nm0905957,nm0264338,nm2082787,nm1498168,nm16880747,nm1171463"
tt0113500,nm0287198,"nm0930062,nm0011339,nm0866063"
tt0113533,nm0336726,"nm0949943,nm0120621"
tt0113540,nm0164187,"nm0005101,nm0164187"
tt0113552,nm0775447,"nm0513787,nm0372942,nm0496468,nm0697115"
tt0113580,nm0344955,"nm0374829,nm0434716,nm0798628"
tt0113598,nm0483575,nm0483575
tt0113627,nm0001214,"nm3840714,nm0001214"
tt0113674,nm0492087,nm0492087
tt0113703,nm0412517,nm0412517
tt0113725,nm0466153,"nm0594429,nm0644720"
tt0113729,nm0000944,nm0590360
tt0113749,nm0003620,nm0003620
tt0113755,nm0650561,"nm0669757,nm0420135,nm0650561,nm0189979"
tt0113757,nm0482571,"nm1223461,nm3568255"
tt0113774,nm0710372,"nm0192996,nm0923303,nm0710372"
tt0113808,nm0291205,nm0291205
tt0113820,nm0818465,"nm0436960,nm0647592"
tt0113824,nm0464911,"nm0383707,nm0594503"
tt0113828,nm0500988,"nm0401076,nm0500988"
tt0113845,nm0747849,"nm0724514,nm0521739"
tt0113851,nm0000770,nm0800124
tt0113855,nm0027271,"nm0095460,nm0864880,nm0238256"
tt0113870,nm0733692,nm0330108
tt0113922,nm0368031,nm0368031
tt0113971,nm0467666,nm0467666
tt0113982,nm0123009,"nm0825988,nm0563374"
tt0113986,nm0001060,"nm0105317,nm0001060"
tt0113987,nm0000231,"nm0729151,nm0929349,nm0000231"
tt0114055,nm0737400,nm0737400
tt0114099,nm0726000,nm0726000
tt0114108,"nm0089940,nm0325776","nm0466216,nm0925906"
tt0114193,nm0208506,"nm0208506,nm0754845,nm0826160"
tt0114196,nm0444571,"nm0112488,nm0278755"
tt0114234,nm0890060,"nm2832163,nm0155027,nm0890060,nm0903423"
tt0114306,nm0428751,"nm0428751,nm0748445"
tt0114323,nm0001331,nm0001331
tt0114388,nm0000487,"nm0000807,nm0000668"
tt0114429,nm0579828,"nm0579828,nm0608741,nm0760351"
tt0114432,nm0467646,"nm0553221,nm0857217,nm0712753"
tt0114443,nm0773108,nm0433832
tt0114465,nm0593262,nm0621058
tt0114478,nm0911061,nm0000808
tt0114489,nm0007128,nm0702912
tt0114496,nm0002120,nm0451884
tt0114508,nm0002044,nm0271022
tt0114622,nm0310168,"nm0020571,nm0126756,nm0777401,nm0006872,nm0232229,nm0645017,nm0317440"
tt0114626,nm0805751,nm0805751
tt0114666,nm0834338,nm0041722
tt0114690,nm0875354,"nm0756836,nm0875354"
tt0114709,nm0005124,"nm0923736,nm0004056,nm0169505,nm0812513,nm0005124,nm0230032,nm0710020"
tt0114732,"nm0099828,nm0132064","nm0099828,nm0132064,nm0501846"
tt0114746,nm0000416,"nm0003408,nm0672459,nm0672466"
tt0114781,nm0614276,"nm0368818,nm0716257,nm0493369"
tt0114787,nm0001437,"nm0468169,nm0001437"
tt0114814,nm0001741,nm0003160
tt0114825,nm0000127,"nm0000552,nm0528487,nm0614151,nm0524710,nm0662134"
tt0114863,nm0000766,"nm0000766,nm0346096,nm0548316,nm0797792,nm3433031,nm0392955"
tt0114906,nm0001754,nm0001754
tt0114996,nm0311508,"nm0311508,nm1063158"
tt0115005,nm0001040,"nm0001040,nm0945802"
tt0115040,nm0838499,"nm0503931,nm0837808,nm0838499"
tt0115042,nm0802693,"nm0080327,nm0796503"
tt0115433,nm0378893,"nm0807977,nm0000455"
tt0115472,nm0006625,"nm0590188,nm0006625,nm0070676,nm0075727,nm0172830,nm0817033"
tt0115530,nm0180912,nm0000519
tt0115568,nm0792905,"nm0063357,nm0240882"
tt0115577,nm0135952,"nm0135952,nm0505964"
tt0115610,nm0714599,"nm0810316,nm0714599"
tt0115624,nm0389514,"nm0912431,nm0149669,nm0679326"
tt0115633,nm0001378,"nm0021433,nm0580559"
tt0115639,nm0001130,nm0003298
tt0115640,nm0531751,nm1281893
tt0115650,nm0785684,nm0785684
tt0115658,nm0243355,"nm0243355,nm0491229"
tt0115676,nm0591171,nm0425756
tt0115683,nm0089176,"nm0498963,nm0669692,nm0089820,nm0462835,nm0545085"
tt0115685,nm0001566,"nm0688497,nm0891554,nm0596850,nm0200473,nm0561938"
tt0115701,nm0089502,nm0089502
tt0115736,"nm0905154,nm0905152","nm0905152,nm0905154"
tt0115738,nm0001139,nm0001139
tt0115742,nm0168214,"nm0168214,nm0759070"
tt0115744,nm0379179,nm0379179
tt0115751,nm0001885,"nm0001885,nm0039576,nm0685168"
tt0115783,nm0225416,"nm0311020,nm0171474"
tt0115794,nm0000940,"nm0296658,nm0000940"
tt0115822,nm0851724,"nm0181924,nm0851724,nm0893712"
tt0115836,nm0002137,nm0722610
tt0115851,nm0213726,"nm0031976,nm0703800"
tt0115940,nm0006445,nm0006445
tt0115994,nm0102929,"nm0102929,nm0531021"
tt0116039,nm0796477,nm0796477
tt0116040,nm0003418,nm0092018
tt0116116,nm0296144,nm0477595
tt0116165,nm0184323,"nm0724192,nm0148489,nm0262693"
tt0116209,nm0005237,"nm0648546,nm0005237"
tt0116225,nm0000118,"nm0000118,nm0145309,nm0384185,nm0000621"
tt0116231,nm0877078,nm0877078
tt0116240,nm0363326,"nm0573505,nm0363326"
tt0116247,nm0414936,"nm0414936,nm0526615,nm1766786"
tt0116261,nm0625789,nm0625789
tt0116269,nm0005196,nm0001590
tt0116274,nm0508208,nm0508208
tt0116289,nm0047076,nm0047076
tt0116293,nm0834201,"nm0438303,nm0372877,nm0834201"
tt0116308,nm0576548,nm0576548
tt0116311,nm0262693,nm0445552
tt0116367,nm0001675,"nm0476071,nm0000233"
tt0116405,nm0588458,nm0588458
tt0116407,nm0764316,"nm0222422,nm1185046,nm0706953,nm0764316"
tt0116426,"nm0159507,nm0497758","nm0159507,nm2650758,nm0874683"
tt0116480,nm0873296,"nm0257981,nm0361101,nm0873296"
tt0116506,nm0956537,"nm0956537,nm0787570"
tt0116514,nm0944892,nm0040643
tt0116587,"nm0145684,nm0478418","nm0478418,nm0145684"
tt0116589,nm0695629,\N
tt0116606,nm0769703,"nm0769703,nm0819045"
tt0116681,nm0406936,nm0406936
tt0116692,nm0512862,"nm0512862,nm0785237"
tt0116695,nm0001081,nm0001081
tt0116705,nm0505152,nm0466473
tt0116707,nm0668500,nm0668500
tt0116736,nm0839268,"nm0839268,nm0138164"
tt0116739,nm0107655,"nm0107654,nm0107655"
tt0116752,nm0442454,nm0442454
tt0116756,nm0001274,"nm0001274,nm0285557,nm0812143"
tt0116763,nm0080220,"nm0080220,nm1399188"
tt0116767,nm0001429,nm0001429
tt0116791,nm0910644,"nm0477910,nm0910644,nm0469729"
tt0116828,nm0548533,nm0130502
tt0116839,nm0542752,"nm0542752,nm0591160"
tt0116851,nm0576529,"nm0030536,nm0576529"
tt0116852,nm0846092,"nm2154550,nm0846092"
tt0116860,nm0236729,"nm0119919,nm0236729,nm0538755,nm0670655"
tt0116883,nm0675571,"nm0405128,nm0675571"
tt0116897,nm0801040,"nm0227489,nm0898883"
tt0116905,nm0000626,nm0000626
tt0116922,nm0000186,"nm0000186,nm0317510"
tt0116962,nm0945981,nm0945981
tt0117002,nm0001241,"nm0553168,nm0358960"
tt0117039,nm0001403,nm0001403
tt0117056,nm0070159,nm0070159
tt0117060,nm0000361,"nm0312367,nm0462895,nm0001873,nm0001801"
tt0117070,nm0235852,nm0322058
tt0117128,nm0540075,"nm0625621,nm0064546,nm0540075,nm0614436,nm0670447,nm0152255,nm0427638,nm0388273,nm0175239"
tt0117143,nm0772691,"nm0349654,nm1440551,nm0772691"
tt0117151,nm0396284,"nm0160883,nm0398736,nm0304709"
tt0117214,nm0538532,nm0538532
tt0117238,nm0089502,"nm0089502,nm0619547"
tt0117260,"nm0169540,nm0004365",nm0711877
tt0117283,nm0716257,"nm0441300,nm0716257"
tt0117293,"nm0075666,nm0802501",\N
tt0117315,nm0006498,"nm0006498,nm0794768"
tt0117318,nm0001232,"nm0018735,nm0438989"
tt0117342,nm0855107,nm0855107
tt0117372,nm0001508,"nm0622251,nm0792845,nm0073394,nm0560894,nm0778819"
tt0117412,nm0013041,"nm0013041,nm0658049,nm0863816"
tt0117427,nm0304395,nm0607454
tt0117477,nm0496312,"nm0913966,nm0275260,nm0895859"
tt0117482,nm0644806,nm0644806
tt0117500,nm0000881,"nm0918711,nm0177018,nm0743119"
tt0117533,nm0847749,"nm0277281,nm0831370"
tt0117550,nm0613981,"nm0093965,nm0558001,nm0713244"
tt0117555,nm0448632,"nm0448632,nm0796710,nm0952429"
tt0117571,nm0000127,nm0932078
tt0117609,"nm0381230,nm0442207","nm0442207,nm0651608,nm0765910,nm3174120,nm3173673"
tt0117611,nm0228858,"nm0831370,nm0831290"
tt0117615,nm0839397,nm0839397
tt0117688,nm0053157,"nm0556928,nm0179968"
tt0117690,nm0313623,"nm0313623,nm0006487"
tt0117723,nm0295007,"nm0294997,nm0783536,nm0295007,nm0161003"
tt0117731,nm0000408,"nm0734472,nm0075834,nm0103804,nm0601822"
