tconst,directors,writers
tt0003740,nm0665163,"nm0195339,nm0515385,nm0665163,nm0758215"
tt0008663,nm0803705,"nm0406585,nm0596410,nm0803705"
tt0009369,"nm0428059,nm0949648","nm0215874,nm0370271"
tt0010307,nm0304098,nm0304098
tt0010600,nm0523932,"nm0006782,nm0473134,nm0523932,nm0932559"
tt0011439,nm0629243,"nm0191547,nm0001196,nm1491939"
tt0011607,nm0003433,"nm0003433,nm0418114"
tt0011841,nm0000428,"nm0662461,nm0103755,nm0342604,nm0446189,nm0000428"
tt0012349,nm0000122,nm0000122
tt0012494,nm0000485,"nm0000485,nm0902376"
tt0012532,nm0000428,"nm0257866,nm0180077,nm0000428"
tt0013257,nm0159725,nm0159725
tt0013556,nm0245385,"nm0001196,nm0202617,nm0245385,nm0461241,nm0940689"
tt0013933,nm0258477,"nm0258477,nm0258506"
tt0014109,nm0830249,"nm0405147,nm0481248,nm0830249"
tt0014142,nm0941637,"nm0401076,nm0790622,nm0522871,nm0730929"
tt0014341,"nm0090007,nm0000036","nm0369841,nm0115669,nm0593477"
tt0014358,nm0000122,nm0000122
tt0014429,"nm0628345,nm0853130","nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001"
tt0014538,"nm0166836,nm0000036","nm0115669,nm0593477,nm0369841,nm0000036"
tt0014611,"nm0628345,nm0853130","nm0853130,nm0928514,nm0924065,nm0907778"
tt0014945,"nm0628345,nm0853130","nm0853130,nm0928514,nm0924065,nm0336984,nm0516001"
tt0014972,nm0803705,"nm0028916,nm0933133,nm0803705,nm0014703"
tt0015016,nm0000406,"nm0448981,nm0751246,nm0201544"
tt0015064,nm0003638,nm0562346
tt0015163,"nm0187981,nm0000036","nm0115669,nm0593477,nm0369841"
tt0015174,nm0000485,nm0902376
tt0015175,nm0000485,"nm0000485,nm0902376"
tt0015214,nm0163229,nm0163229
tt0015224,nm0107543,"nm0057381,nm0325135"
tt0015361,nm0001178,"nm0017893,nm0001178,nm0470402,nm0687244"
tt0015400,nm0909825,"nm0940689,nm0001196,nm0008280,nm0640884"
tt0015841,"nm0628345,nm0853130","nm0853130,nm0928514,nm0340599,nm0924065,nm0336984,nm0516001"
tt0015842,nm0655065,"nm0079278,nm0352026,nm1680388"
tt0015863,nm0000036,"nm0000036,nm0623640,nm0134252"
tt0015864,nm0000122,nm0000122
tt0015881,nm0002233,"nm0558923,nm0002233,nm0635805,nm0267868"
tt0016029,nm0124877,"nm0175902,nm0426531,nm0124877"
tt0016220,"nm0432216,nm0151606,nm0290926,nm0781292","nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473"
tt0016332,nm0000036,"nm0576362,nm0115669,nm0369841,nm0593477"
tt0016481,nm0243295,"nm0390586,nm0243295"
tt0016544,nm0783865,"nm0000875,nm0062091,nm0497736,nm0783865"
tt0016630,nm0000036,"nm0809548,nm0090213,nm0807667,nm0623640,nm0109209,nm0577650"
tt0016641,"nm0629243,nm0102643,nm0127511,nm0169905,nm0002271","nm0908753,nm0558923,nm0933133,nm0385012,nm0129721"
tt0016847,nm0003638,"nm0369458,nm0477515,nm0324473"
tt0017048,nm0455938,"nm0442704,nm0455938,nm0409467,nm2396540,nm1273449"
tt0017136,nm0000485,"nm0902376,nm0000485"
tt0017271,nm0474487,"nm0474487,nm0518711,nm0794531"
tt0017350,nm0803705,"nm0370426,nm0547966"
tt0017463,nm0000406,"nm0924268,nm0831958,nm0817809,nm0102167"
tt0017925,"nm0115669,nm0000036","nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548"
tt0017961,nm0575963,nm0575963
tt0018054,nm0001124,nm0534221
tt0018066,"nm0699877,nm0231151",nm0953515
tt0018192,nm0304098,nm0304098
tt0018379,nm0097648,"nm0834944,nm0322227,nm0385012,nm0129721,nm0615868"
tt0018451,"nm0523932,nm0821472","nm6753657,nm0014703,nm0191956,nm0232704,nm0583431"
tt0018526,"nm0903049,nm0744504","nm0299153,nm0001328,nm0372942,nm0498133,nm0547938,nm0903049"
tt0018528,nm0115218,"nm0115218,nm0950150,nm0267868"
tt0018578,"nm0920074,nm0195496","nm0766850,nm0521002,nm0510024,nm0425456,nm0604526"
tt0018684,nm0920074,"nm0322227,nm0876432"
tt0018737,nm0655065,"nm0917149,nm0883335,nm0281567,nm0655065"
tt0018742,"nm0781292,nm0000036","nm0115669,nm0513858,nm0267868,nm0090213,nm0604526"
tt0018773,nm0000122,nm0000122
tt0018806,nm0896542,"nm0896542,nm0915875,nm0267868,nm0066946"
tt0018839,nm0903049,"nm0299154,nm0766850,nm0425456"
tt0018876,nm0000033,"nm0680914,nm0822627,nm0000033,nm0035199,nm0402855,nm0497961"
tt0019074,nm0107543,"nm0067584,nm0193704,nm0267868,nm0576035"
tt0019109,nm0270838,"nm0656264,nm0522871,nm0715723"
tt0019379,nm0896542,"nm0426515,nm0821716,nm0817809"
tt0019412,nm0928514,"nm0340599,nm0623640,nm0736911,nm0090213,nm0218626,nm0397834,nm0809548"
tt0019421,"nm0718469,nm0000036","nm0361882,nm0000036"
tt0019429,nm0097648,"nm0388743,nm0458934,nm0843364"
tt0019655,nm0562004,"nm0562004,nm0844459,nm0889172"
tt0019788,nm0853130,"nm0007973,nm0108697,nm0340599,nm0573865,nm0853130"
tt0019901,nm0000485,"nm0902376,nm0000485"
tt0020018,"nm0191899,nm0909825","nm0377958,nm0058179,nm0809548"
tt0020122,nm0097648,"nm0095732,nm0129721,nm0385012,nm0397022,nm0876811"
tt0020298,"nm0002233,nm0092915","nm0002233,nm0014703,nm0322227"
tt0020768,nm0003638,"nm0504443,nm0896826,nm0651000,nm0129721,nm0385012"
tt0020793,nm0002190,"nm0696920,nm0002190"
tt0021015,nm0000033,"nm0639997,nm0000033,nm0720904"
tt0021309,"nm0823089,nm0823088","nm0634113,nm0635163,nm0724858,nm0823089,nm0823088,nm0324473"
tt0021409,nm0163229,nm0163229
tt0021730,nm0896542,"nm0875746,nm0549905"
tt0021739,nm0719756,"nm0478579,nm0719756,nm0320630,nm0610207"
tt0021884,nm0001843,"nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246"
tt0022074,nm0523932,"nm0883328,nm0710723,nm0414885,nm0618169,nm0233791,nm0523932"
tt0022080,nm0670643,nm0670643
tt0022100,nm0000485,"nm0902376,nm0000485,nm0414825"
tt0022125,nm0466099,nm0656528
tt0022150,nm0163229,"nm0077278,nm0347058,nm0163229"
tt0022153,nm0001008,"nm0842485,nm0576046,nm0728307"
tt0022395,nm0000033,"nm0303335,nm0000033,nm0720904"
tt0022436,nm0896542,nm0723418
tt0022458,nm0003638,"nm0003638,nm0280904,nm0880618"
tt0022485,nm0654868,"nm0457560,nm0633792"
tt0022550,nm0001843,"nm0792845,nm0506349,nm0715723"
tt0022599,nm0163229,nm0163229
tt0022626,"nm0001008,nm0245385,nm0624756",nm0728307
tt0022787,nm0076368,"nm0076368,nm0233593,nm0485676"
tt0022802,nm0337586,"nm0413711,nm0594594,nm0855850,nm0953123"
tt0022913,nm0115218,"nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138"
tt0023241,"nm0115669,nm0516001","nm0493071,nm0426515,nm0340599,nm0012148,nm0124290,nm0516001"
tt0023293,nm0001843,"nm0697362,nm0506349,nm0792670"
tt0023303,"nm0002030,nm0523932","nm0773083,nm0710723,nm0545401"
tt0023395,nm0000033,"nm0172246,nm0000033,nm0720904,nm0884318"
tt0023622,nm0523932,"nm0710723,nm0428177,nm0015801"
tt0023634,nm0654868,"nm0299343,nm0406601,nm0654868"
tt0023649,nm0003433,"nm0494257,nm0432143,nm0003433"
tt0023686,nm0002030,"nm0288706,nm0114602,nm0820700,nm0613848,nm0548993,nm0696190,nm0729694,nm0828574"
tt0023775,nm0337586,"nm0548403,nm0778636,nm0953123"
tt0023871,nm0183018,"nm0183018,nm0302040"
tt0023876,nm0515979,"nm0002021,nm0075351"
tt0023937,nm0654868,"nm0407456,nm0654868"
tt0023940,nm0523932,"nm0002021,nm0372942,nm0388755"
tt0023943,"nm0730018,nm0736778","nm0534221,nm0780107"
tt0023969,nm0564970,"nm0436095,nm0748438,nm0790654,nm0674759"
tt0023973,"nm0908234,nm0500552","nm0589316,nm0736752,nm0766850"
tt0023986,nm0215877,"nm0696190,nm0091200"
tt0024028,nm0045800,"nm0781719,nm0786827,nm0520501,nm0590361"
tt0024127,nm0826094,"nm0770948,nm0530731"
tt0024183,nm0840042,"nm0552289,nm0216755,nm0105261,nm0374013"
tt0024184,nm0001843,"nm0920229,nm0792670"
tt0024188,nm0448915,"nm0950150,nm0943804,nm0920229"
tt0024216,"nm0178260,nm0774325","nm0187256,nm0741656,nm0178260,nm0908624,nm0330390"
tt0024240,nm0001008,"nm0728307,nm0750357"
tt0024264,nm0002030,"nm0017301,nm0556945,nm0373511,nm0028636,nm0088670,nm0102818,nm0276040,nm0376179,nm0613848,nm0827693,nm0875746,nm0878605"
tt0024481,nm0541149,"nm0367814,nm0826554,nm0505996,nm0067103,nm0309567,nm0372942,nm0541149,nm0883328,nm0921995"
tt0024593,nm0774325,nm0741656
tt0024617,nm0731596,"nm0308177,nm0001203,nm0914362"
tt0024844,nm0897118,"nm0347447,nm0729960,nm0897118"
tt0024852,"nm0576940,nm0736778","nm0124918,nm0342417,nm0152156"
tt0024902,nm0102908,nm0102908
tt0024966,"nm0890574,nm0890567","nm0298998,nm0298997,nm0890574,nm0890567"
tt0025028,"nm0258015,nm0000923","nm0202681,nm0520501"
tt0025164,nm0762263,"nm0852313,nm0916177,nm0388755,nm0547938,nm0949130,nm0442137,nm0070361,nm0359748,nm0543122,nm0712060"
tt0025318,nm0572851,"nm0192325,nm0568571,nm0001211,nm0083125,nm0107756,nm0337914,nm0750822,nm0801647,nm0809548,nm0919543,nm0922951"
tt0025410,nm0355284,"nm0513529,nm0375500,nm0499628,nm0750357"
tt0025440,nm0102908,nm0102908
tt0025455,nm0102908,nm0663858
tt0025464,"nm0886754,nm0176699,nm0002030","nm0308177,nm0000581,nm0128361,nm0230776,nm0829330"
tt0025699,nm0292134,nm0663858
tt0025746,nm0903049,"nm0464767,nm1327583"
tt0025862,"nm0316539,nm0570985,nm0176699","nm0123194,nm0570130,nm0736911,nm0330390,nm0058295"
tt0025898,nm0719756,"nm0719756,nm2365865,nm0251873"
tt0025913,nm0726166,"nm0726166,nm0752193,nm1168002"
tt0025929,nm0654868,"nm0407456,nm0654868"
tt0026029,nm0000033,"nm0117955,nm0071657,nm0067308"
tt0026104,nm0541149,"nm0856842,nm0267020,nm0593517"
tt0026267,nm0102908,"nm0636475,nm0102908,nm0869389"
tt0026424,nm0943758,"nm0385992,nm0597175,nm0002545"
tt0026529,nm0000406,"nm0629580,nm0641018"
tt0026725,nm0092915,"nm0401076,nm0513744"
tt0027075,"nm0176699,nm0502752","nm0002042,nm0513744,nm0067103,nm1892772,nm7454408,nm7454409,nm1898835"
tt0027118,nm0654868,"nm0654868,nm0407456,nm0033163"
tt0027214,nm0000406,"nm0842485,nm0728307,nm0122446"
tt0027307,nm0793646,"nm0442704,nm0793646"
tt0027336,nm0719756,"nm0331003,nm0759866,nm0173952,nm0719756,nm0816458"
tt0027342,nm0245213,"nm0245213,nm0816458"
tt0027438,nm0002031,"nm0415004,nm0500284,nm0855139"
tt0027441,nm0401680,"nm0000252,nm0517567,nm0522871,nm0107756,nm0253892,nm0081788"
tt0027442,nm0928781,"nm0000252,nm0517567,nm0254754,nm0081788"
tt0027478,nm0719756,"nm0144475,nm0699535,nm0719756"
tt0027532,nm0943758,"nm0507760,nm0397608,nm0943753"
tt0027652,nm0000485,"nm0179993,nm0000485,nm0469915"
tt0027657,nm0092915,"nm0382562,nm0513744,nm0726704,nm0325135"
tt0027672,nm0003226,"nm0475520,nm0003226,nm0406808"
tt0027914,nm0886754,"nm0536941,nm0781719,nm0403391,nm0337588,nm0110901,nm0000581"
tt0027977,nm0000122,nm0000122
tt0028021,nm0003226,"nm0297884,nm0003226,nm0645432,nm0406808"
tt0028070,nm0480046,"nm0414669,nm0175028,nm0012148,nm0736778,nm0422382,nm0335831,nm0377194,nm1329995"
tt0028096,nm0562845,"nm0448981,nm0202681,nm0792845"
tt0028141,nm0000406,nm0425913
tt0028167,nm0466099,"nm0958454,nm0372148,nm0083742"
tt0028212,nm0000033,"nm0175676,nm0071657,nm0067308,nm0801026,nm0256532"
tt0028216,nm0886754,"nm0002616,nm0394267,nm0542534"
tt0028249,nm0001843,"nm0272209,nm0358564,nm0015399"
tt0028313,nm0226189,"nm0316807,nm0172074,nm0158737"
tt0028315,nm0782682,"nm0175902,nm0790654,nm0674759,nm0257143,nm0792553"
tt0028333,nm0828419,"nm0512231,nm0778818,nm0312510,nm0391750,nm0416861,nm0892044,nm0949130"
tt0028346,nm0309163,"nm0574966,nm0388554,nm0291515"
tt0028355,nm0092915,"nm0118227,nm0565242"
tt0028356,nm0943758,nm0375484
tt0028575,nm0523932,"nm0501872,nm0093397,nm0575427,nm0710723,nm0519556"
tt0028683,nm0002030,"nm0015399,nm0547966,nm0385264,nm0241414,nm0460130,nm0933133"
tt0028708,nm0401680,"nm0000252,nm0517567,nm0121228,nm0081788"
tt0028737,nm0562004,"nm0254690,nm0258493,nm0505996"
tt0028772,nm0939992,"nm0685265,nm0780833,nm0649183,nm0090213,nm0330390,nm0442151,nm0933133"
tt0028773,nm0943758,"nm0375484,nm0455549"
tt0028816,nm0500552,"nm0002545,nm0143837"
tt0028944,"nm0291548,nm0281808,nm0532561,nm0939992","nm0421255,nm0805756,nm0921995,nm0118406,nm0547966"
tt0028988,nm0245385,"nm0819983,nm0274923,nm0430756"
tt0029146,nm0226189,"nm0706993,nm0378431,nm0378773,nm0430763"
tt0029192,nm0564970,"nm0217568,nm0492854,nm0495259,nm0495270,nm0732209"
tt0029217,"nm0045800,nm0002031","nm0744035,nm0277874,nm0589316"
tt0029284,nm0437717,"nm0818415,nm0818416,nm0564970,nm0437717,nm0565609,nm0855139"
tt0029310,nm0861703,"nm0930539,nm0886668"
tt0029314,nm0945537,nm0590839
tt0029440,"nm0445033,nm0226189","nm0878494,nm0236418,nm0193693"
tt0029442,"nm0188669,nm0886754","nm0393949,nm0049721,nm17218479,nm0740537,nm0829330,nm0372942,nm0397608"
tt0029608,nm0896542,"nm0556945,nm0373511,nm0698989,nm0340799,nm0700717,nm0081748"
tt0029658,nm0503777,"nm0338950,nm0744035,nm0437189"
tt0029747,nm0395023,"nm0422382,nm0736778,nm0012148,nm0663613"
tt0029844,nm0851537,"nm0878494,nm0915875,nm0624714"
tt0029850,"nm0001178,nm0890565","nm0001178,nm0667698"
tt0029942,nm0851537,"nm0576046,nm0770196,nm0341178,nm0591774"
tt0029947,nm0001328,"nm0629580,nm0928444"
tt0029957,nm0719756,"nm0957652,nm0719756,nm1266315"
tt0029995,nm0896542,"nm0198202,nm0915693,nm0384227,nm0930539,nm0188743"
tt0030044,nm0332539,"nm0589316,nm0869371,nm0766850,nm0001328"
tt0030127,nm0656528,"nm0320274,nm0656528"
tt0030241,nm0002030,"nm0829330,nm0118227,nm0058129"
tt0030252,nm0138893,"nm0196407,nm0419986,nm0042179"
tt0030287,nm0943758,"nm0728002,nm0277874,nm0001379,nm0205244,nm0118758,nm0248994"
tt0030341,nm0000033,"nm0924781,nm0319148,nm0490950"
tt0030522,nm0726166,nm0726166
tt0030637,"nm0002190,nm0001366","nm0789737,nm0513744,nm0507021,nm0198202,nm0344645,nm0909727"
tt0030643,nm0138893,"nm0241409,nm0699535"
tt0031002,"nm0908831,nm0587277,nm0695456,nm0861703","nm0651585,nm0943782,nm0071657"
tt0031022,nm0921288,"nm0089637,nm0237033,nm0319069,nm0236279"
tt0031088,nm0920074,"nm0308604,nm0942118"
tt0031143,nm0637790,"nm0216755,nm0823395,nm0929616"
tt0031147,nm0287988,"nm0488295,nm0081788"
tt0031149,nm0287988,"nm0405081,nm0712730,nm0448839,nm0943804,nm0081788"
tt0031210,nm0332539,"nm0732452,nm0108108,nm0088602"
tt0031225,nm0550892,"nm0413519,nm0700717,nm0616730,nm0062738"
tt0031235,nm0002031,nm0118758
tt0031334,nm0466113,"nm0792670,nm0083742,nm0934497,nm0556571"
tt0031359,nm0225555,"nm0358096,nm0712653,nm0092658"
tt0031381,nm0281808,"nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668"
tt0031385,"nm0939992,nm0291548","nm0792670,nm0921995,nm0556178,nm0385264"
tt0031387,nm0245385,"nm0817809,nm0416861,nm0799015"
tt0031398,nm0828419,"nm0768540,nm0347451,nm0372942,nm0531269,nm0456017,nm0001203,nm0169556,nm0173303,nm0493071,nm0629580,nm0892044"
tt0031477,nm0188669,"nm0792553,nm0108024"
tt0031507,"nm0454771,nm0191899","nm0425913,nm0288706,nm0448985,nm0518979"
tt0031514,nm0138893,"nm0899254,nm0699535"
tt0031580,"nm0485943,nm0782682","nm0384248,nm0274923,nm0122364"
tt0031619,nm0001843,"nm0241416,nm0115482"
tt0031647,nm0500552,"nm0102818,nm0000697,nm0562372,nm0776456"
tt0031750,nm0332539,"nm0732452,nm0015399,nm0923585"
tt0031754,nm0118807,"nm0002316,nm0642168,nm0921995,nm0651585,nm0914245"
tt0031762,nm0001328,"nm0299154,nm0001328,nm0341178,nm0710299"
tt0031826,nm0002031,"nm0706993,nm0533418,nm0027173"
tt0031851,nm0792605,"nm0441769,nm0538618"
tt0031867,nm0909825,"nm0907003,nm0531335,nm0744035,nm0375446,nm0049898,nm0231893,nm0923333"
tt0031951,nm0498174,"nm0178459,nm0791217"
tt0031971,nm0000406,"nm0370697,nm0629580,nm0372942"
tt0032080,nm0001124,"nm0216755,nm0837989,nm0489679,nm0192325,nm0370697,nm0107288,nm0534221,nm0712060"
tt0032138,"nm0281808,nm0002030,nm0851537,nm0861703,nm0896542","nm0486538,nm0753249,nm0941138,nm0000875,nm0002030,nm0006085,nm0106505,nm0134284,nm0276252,nm0355095,nm0361971,nm0388755,nm0481618,nm0536941,nm0542534,nm0591774,nm0621790,nm0685265,nm0780833,nm0799015,nm0861703,nm0896542"
tt0032143,nm0002030,"nm0524403,nm0002616,nm0613848,nm0280234,nm0829330"
tt0032152,"nm0550892,nm0166836","nm0547938,nm0533067,nm0293388,nm0001211,nm0425225,nm0513858,nm0781719,nm0786827"
tt0032155,nm0000406,"nm0873707,nm1209279"
tt0032156,nm0003226,"nm0442736,nm0613527,nm0406808"
tt0032181,nm0188669,"nm0792845,nm0428177"
tt0032215,nm0631438,"nm0794280,nm0802561,nm0140958"
tt0032234,nm0166836,"nm0001211,nm0140958"
tt0032284,nm0851537,"nm0330390,nm0649183,nm0569646,nm0770196,nm0002545,nm0216755,nm0493071,nm0543171,nm0602839,nm0681052,nm0799015"
tt0032325,nm0287988,"nm0488295,nm0956342,nm0081788,nm0222164"
tt0032338,nm0002545,nm0002545
tt0032339,nm0332531,"nm0736778,nm0012148,nm0003377"
tt0032390,nm0946391,"nm0627454,nm0108579"
tt0032432,nm0113284,"nm0421255,nm0285199,nm0770196,nm0124947"
tt0032457,nm0631438,"nm0201405,nm0905729,nm0928840"
tt0032484,nm0000033,"nm0071657,nm0365661,nm0385264,nm0070361,nm0372942,nm0537363"
tt0032520,nm0550892,"nm0216755,nm0225469,nm0323766"
tt0032551,nm0000406,"nm0425913,nm0825705"
tt0032617,nm0886754,"nm0330390,nm0914362,nm0169665,nm0496468,nm0649183,nm0475823"
tt0032653,nm0363235,"nm0363235,nm0595433,nm0582742,nm0310018"
tt0032701,nm0943758,"nm0560857,nm0462321"
tt0032762,nm0541149,"nm0285218,nm0287124,nm0580648,nm0191547"
tt0032819,nm0480046,"nm0956342,nm0081788"
tt0032904,nm0002030,"nm0829330,nm0058129,nm0759029"
tt0032910,"nm0272568,nm0373429,nm0414144,nm0455741,nm0527217,nm0730860,nm0789313","nm0172830,nm0780799,nm0257481,nm0810324,nm0183183,nm0754836,nm0672093,nm0061284,nm0670328,nm0850895"
tt0032943,nm0502752,"nm0404717,nm0613848,nm0000807,nm0422017,nm0373511,nm0556945,nm0805756,nm0886668"
tt0032981,nm0500552,nm0002545
tt0033022,nm0235066,"nm0736778,nm0012148,nm0695456,nm0003377"
tt0033028,nm0002031,"nm0462321,nm0589316"
tt0033045,nm0523932,"nm0710723,nm0529450,nm0372942"
tt0033152,"nm0003490,nm0003836,nm0924065,nm0466099,nm0466113,nm0580017","nm0539942,nm0083742,nm0000067"
tt0033238,nm0503777,"nm0067103,nm0254690,nm0296207,nm0792845"
tt0033253,nm0943758,"nm0842485,nm0124002,nm0482193,nm0122446,nm0375484,nm0478541,nm0629580"
tt0033317,"nm0257638,nm0936823","nm0203477,nm0355963,nm0372609,nm0688853,nm0794900,nm1304148,nm1791910"
tt0033373,nm0001328,"nm0102818,nm0000697,nm0598572"
tt0033477,nm0113284,"nm0574110,nm0888144"
tt0033532,nm0226189,"nm0869371,nm0070948"
tt0033533,nm0939992,nm0469915
tt0033563,"nm0035899,nm0272568,nm0414144,nm0455741,nm0730860,nm0789313","nm0335469,nm0400056,nm0257481,nm0670328,nm0061284,nm0727370,nm0821707,nm0810324,nm0008673,nm2927785"
tt0033677,nm0332539,"nm0168829,nm0052231"
tt0033717,nm0909825,"nm0001379,nm0122446"
tt0033722,nm0500552,"nm0102818,nm0000697,nm0295786,nm0537363,nm0713781"
tt0033723,nm0523893,"nm0498738,nm0727411,nm0335471"
tt0033766,nm0467396,"nm0469915,nm0870150,nm0473134"
tt0033774,nm0503777,"nm0536941,nm0335455"
tt0033787,nm0946391,nm0447071
tt0033802,nm0896533,"nm0287124,nm0219068,nm0672906"
tt0033836,nm0943758,"nm0375484,nm0462111,nm0662213,nm0132180"
tt0033870,nm0001379,"nm0001379,nm0358591"
tt0033873,nm0000485,"nm0396716,nm0629580,nm0873707"
tt0033874,nm0445033,"nm0258493,nm0442151,nm0366454"
tt0033945,nm0166836,"nm0627454,nm0152256,nm0001211"
tt0034012,nm0828419,"nm0753452,nm0154773"
tt0034027,nm0001366,"nm0344645,nm2568071,nm0928944,nm0675729,nm0198202,nm0649478"
tt0034162,nm0002031,"nm0744035,nm0518711"
tt0034224,nm0005847,"nm0286025,nm0547949,nm0377127"
tt0034241,nm0401680,"nm0000252,nm0517567,nm0037734,nm0361837,nm0334986,nm0778818,nm0818328"
tt0034398,nm0905729,nm0802561
tt0034461,nm0210701,"nm0210701,nm1376910,nm0272889,nm0519845,nm1386236,nm1387311"
tt0034478,nm0167241,"nm0824715,nm0167241"
tt0034493,nm0001120,"nm0899170,nm0536139,nm0953790,nm0290000,nm0315657,nm0001120,nm0598102"
tt0034521,nm0631438,"nm0309567,nm1255711"
tt0034546,nm0289297,"nm0774205,nm0732325"
tt0034586,nm0480046,"nm0488295,nm0081788"
tt0034587,nm0869664,nm0090840
tt0034591,nm0654868,"nm0407456,nm0945868,nm0654868"
tt0034694,nm0587277,"nm0744035,nm0940827"
tt0034798,nm0374702,"nm0490206,nm0358591"
tt0034862,"nm0762263,nm0020980","nm0083125,nm0723418,nm0000927,nm0391750,nm0492635,nm0616893,nm0841702"
tt0034890,"nm0001379,nm0909825","nm0462321,nm0321872"
tt0034891,"nm0002021,nm0000180",nm0002021
tt0034946,nm0939992,"nm0732452,nm0068672"
tt0035009,nm0627864,nm0617202
tt0035015,"nm0000080,nm0281381,nm0936404","nm0850483,nm0000080,nm0001072,nm0608986"
tt0035017,nm0869665,"nm0237836,nm0626298"
tt0035019,nm0000697,"nm0102818,nm0000697,nm0139321,nm0452932"
tt0035093,nm0943758,"nm0934497,nm0296207,nm0385264,nm0921995,nm0835369,nm0651585,nm0792670,nm0928295"
tt0035100,nm0485647,"nm0291035,nm0659085,nm0366942,nm0124918,nm0212700"
tt0035140,nm0710924,"nm0732452,nm0698989"
tt0035169,nm0002545,"nm0002545,nm0290926"
tt0035211,nm0939992,"nm0842485,nm0542534,nm0302904,nm0750357,nm0493071,nm0732452"
tt0035228,nm0722852,"nm0519845,nm0722852,nm0763351"
tt0035279,nm0000033,"nm0896830,nm0365661,nm0662213,nm0000033"
tt0035417,nm0828419,"nm0789758,nm0118227,nm0886861,nm0363563"
tt0035429,nm0146709,"nm0001294,nm0226538,nm0604610,nm0534191"
tt0035432,nm0878338,"nm0540816,nm0122446,nm0001294,nm0878338"
tt0035446,nm0523932,"nm0501872,nm0562372,nm0523932"
tt0035521,nm0138893,"nm0699535,nm0488435"
tt0035567,nm0828419,"nm0488057,nm0437720,nm0536941"
tt0035575,nm0002031,"nm0118758,nm0430578,nm0258493"
tt0035640,nm0064415,"nm0113954,nm0765036"
tt0035753,nm0167241,"nm0154438,nm0167241"
tt0035939,nm0064415,nm0383428
tt0035966,nm0000485,"nm0923333,nm0106517,nm0000485"
tt0035979,nm0523932,"nm0710723,nm0124224"
tt0036098,nm0928208,"nm0124947,nm0460893"
tt0036152,nm0943758,"nm0158738,nm0462840,nm0943758"
tt0036191,nm0902082,"nm0119279,nm0477696,nm0711474"
tt0036230,nm0792605,"nm0886668,nm0168829,nm0332539"
tt0036260,nm0802563,"nm0774441,nm0409997"
tt0036342,nm0000033,"nm0928642,nm0072639,nm0720904,nm0568060"
tt0036367,nm0762263,"nm0778818,nm0368807"
tt0036377,nm0454771,"nm0780833,nm0921268"
tt0036422,nm0124877,"nm0659085,nm0291035,nm0449462,nm0293388,nm0777150"
tt0036430,nm0002031,"nm0732452,nm0083125,nm0000927,nm0258493"
tt0036613,nm0001008,"nm0258493,nm0450279"
tt0036641,nm0087831,"nm0297190,nm0888996"
tt0036653,nm0880618,"nm0513563,nm0299124,nm0312707"
tt0036716,nm0802563,"nm0507210,nm0112218,nm0201405"
tt0036775,nm0000697,"nm0000697,nm0151452,nm0128906"
tt0036818,nm0919012,nm0819293
tt0036855,nm0002030,"nm0886668,nm0281556,nm0049721,nm0358096"
tt0036891,nm0002545,nm0002545
tt0036922,nm0202681,nm0202681
tt0036962,nm0163229,"nm0629580,nm0163229,nm0243004,nm0917200,nm0811467,nm0287931,nm0289535"
tt0037008,"nm0695937,nm0541149","nm0143837,nm0237225,nm0388755,nm0718101,nm0488057"
tt0037017,nm0000033,"nm0825705,nm0842485,nm0000033,nm0372942"
tt0037024,nm0103975,"nm0528530,nm0523269"
tt0037055,nm0624535,"nm0344246,nm0001907"
tt0037059,nm0591486,"nm0106505,nm0277943,nm0072639,nm0373511,nm0525067,nm0556945,nm4251617"
tt0037075,nm0000485,"nm0589316,nm0001294"
tt0037077,nm0002545,nm0002545
tt0037084,nm0627864,"nm0931117,nm0312707,nm0600755,nm0640605"
tt0037094,nm0792605,"nm0258493,nm0901896,nm16909158"
tt0037096,nm0307819,"nm0858329,nm1080563,nm0111313,nm0035158,nm0330390,nm0666822,nm0770337"
tt0037101,nm0229424,"nm0668122,nm0151452"
tt0037151,nm0567757,"nm0588003,nm0788058"
tt0037323,nm0045800,"nm0564610,nm0771087,nm0230564"
tt0037367,nm0000180,"nm0000180,nm0623768,nm0369743,nm0002021"
tt0037415,nm0020765,"nm0807977,nm0664022,nm0531244"
tt0037462,nm0113284,"nm0921995,nm0527331,nm0296207,nm0002317,nm0622251"
tt0037469,nm0000485,"nm0425913,nm0909260"
tt0037558,nm0000180,"nm0002021,nm0369743,nm0000180,nm0623768"
tt0037595,nm0324013,"nm0396754,nm0173532,nm0357707"
tt0037614,nm0710924,"nm0732452,nm0147119,nm0930539"
tt0037630,nm0000975,"nm0000975,nm0225784,nm0168413"
tt0037635,"nm0146709,nm0187769,nm0213136,nm0357607","nm0047786,nm0534191,nm0165021,nm0920229,nm0072478"
tt0037638,nm0880618,"nm0326107,nm0600755"
tt0037671,nm0188669,"nm0090840,nm0542534,nm0684093"
